yıl;ay;kart_tipi;kart_kullanim_sayisi
2021;nisan;KAMU;1559
2021;nisan;MUHTAR;265
2021;nisan;SOSYAL KART;26245
2021;nisan;TAM ABONMAN;166752
2021;nisan;TAM KART;1097107
2021;mayis;65 YAŞ ÜSTÜ;37295
2021;mayis;DİĞER;109439
2021;mayis;BASIN;2065
2021;mayis;ENGELLİ;57405
2021;mayis;ENGELLİ REFAKATLİ;9251
2021;mayis;GÖRME ENGELLİ;482
2021;mayis;GÖRME ENGELLİ REFAKATLİ;228
2021;mayis;İNDİRİMLİ;485590
2021;mayis;KAMU;876
2021;mayis;MUHTAR;162
2021;mayis;SOSYAL KART;17973
2021;mayis;TAM ABONMAN;116462
2021;mayis;TAM KART;789882
2021;haziran;65 YAŞ ÜSTÜ;142745
2021;haziran;DİĞER;196187
2021;haziran;BASIN;3296
2021;haziran;ENGELLİ;108305
2021;haziran;ENGELLİ REFAKATLİ;18870
2021;haziran;GÖRME ENGELLİ;865
2021;haziran;GÖRME ENGELLİ REFAKATLİ;503
2021;haziran;İNDİRİMLİ;1088628
2021;haziran;KAMU;1507
2021;haziran;MUHTAR;272
2021;haziran;SOSYAL KART;31605
2021;haziran;TAM ABONMAN;197524
2021;haziran;TAM KART;1528365
2021;temmuz;65 YAŞ ÜSTÜ;220681
2021;temmuz;DİĞER;182715
2021;temmuz;BASIN;2922
2021;temmuz;ENGELLİ;107092
2021;temmuz;ENGELLİ REFAKATLİ;18486
2021;temmuz;GÖRME ENGELLİ;811
2021;temmuz;GÖRME ENGELLİ REFAKATLİ;557
2021;temmuz;İNDİRİMLİ;983873
2021;temmuz;KAMU;1293
2021;temmuz;MUHTAR;228
2021;temmuz;SOSYAL KART;31495
2021;temmuz;TAM ABONMAN;183360
2021;temmuz;TAM KART;1540886
2021;agustos;65 YAŞ ÜSTÜ;261438
2021;agustos;DİĞER;201918
2021;agustos;BASIN;3273
2021;agustos;ENGELLİ;117886
2021;agustos;ENGELLİ REFAKATLİ;21033
2021;agustos;GÖRME ENGELLİ;790
2021;agustos;GÖRME ENGELLİ REFAKATLİ;576
2021;agustos;İNDİRİMLİ;1134056
2021;agustos;KAMU;1715
2021;agustos;MUHTAR;308
2021;agustos;SOSYAL KART;30827
2021;agustos;TAM ABONMAN;205329
2021;agustos;TAM KART;1724569
2021;eylul;65 YAŞ ÜSTÜ;280026
2021;eylul;DİĞER;221614
2021;eylul;BASIN;3557
2021;eylul;ENGELLİ;123928
2021;eylul;ENGELLİ REFAKATLİ;22162
2021;eylul;GÖRME ENGELLİ;743
2021;eylul;GÖRME ENGELLİ REFAKATLİ;629
2021;eylul;İNDİRİMLİ;2240754
2021;eylul;KAMU;1841
2021;eylul;MUHTAR;370
2021;eylul;SOSYAL KART;33130
2021;eylul;TAM ABONMAN;219665
2021;eylul;TAM KART;1991808
2021;ekim;65 YAŞ ÜSTÜ;314173
2021;ekim;DİĞER;261087
2021;ekim;BASIN;3725
2021;ekim;ENGELLİ;130399
2021;ekim;ENGELLİ REFAKATLİ;23621
2021;ekim;GÖRME ENGELLİ;943
2021;ekim;GÖRME ENGELLİ REFAKATLİ;787
2021;ekim;İNDİRİMLİ;3612518
2021;ekim;KAMU;1821
2021;ekim;MUHTAR;341
2021;ekim;SOSYAL KART;33261
2021;ekim;TAM ABONMAN;242316
2021;ekim;TAM KART;2179047
2021;kasim;65 YAŞ ÜSTÜ;332757
2021;kasim;DİĞER;290739
2021;kasim;BASIN;3849
2021;kasim;ENGELLİ;135460
2021;kasim;ENGELLİ REFAKATLİ;24191
2021;kasim;GÖRME ENGELLİ;838
2021;kasim;GÖRME ENGELLİ REFAKATLİ;576
2021;kasim;İNDİRİMLİ;3686863
2021;kasim;KAMU;2097
2021;kasim;MUHTAR;417
2021;kasim;SOSYAL KART;34710
2021;kasim;TAM ABONMAN;255589
2021;kasim;TAM KART;2081269
2021;aralik;65 YAŞ ÜSTÜ;326201
2021;aralik;DİĞER;319200
2021;aralik;BASIN;4506
2021;aralik;ENGELLİ;137681
2021;aralik;ENGELLİ REFAKATLİ;24015
2021;aralik;GÖRME ENGELLİ;798
2021;aralik;GÖRME ENGELLİ REFAKATLİ;549
2021;aralik;İNDİRİMLİ;3901401
2021;aralik;KAMU;1999
2021;aralik;MUHTAR;548
2021;aralik;SOSYAL KART;36497
2021;aralik;TAM ABONMAN;283576
2021;aralik;TAM KART;2100838
2022;ocak;65 YAŞ ÜSTÜ;295466
2022;ocak;DİĞER;297896
2022;ocak;BASIN;4333
2022;ocak;ENGELLİ;128275
2022;ocak;ENGELLİ REFAKATLİ;21621
2022;ocak;GÖRME ENGELLİ;709
2022;ocak;GÖRME ENGELLİ REFAKATLİ;549
2022;ocak;İNDİRİMLİ;2910669
2022;ocak;KAMU;1414
2022;ocak;MUHTAR;537
2022;ocak;SOSYAL KART;36254
2022;ocak;TAM ABONMAN;281599
2022;ocak;TAM KART;2027705
2022;subat;65 YAŞ ÜSTÜ;311197
2022;subat;DİĞER;285023
2022;subat;BASIN;3996
2022;subat;ENGELLİ;127559
2022;subat;ENGELLİ REFAKATLİ;22070
2022;subat;GÖRME ENGELLİ;669
2022;subat;GÖRME ENGELLİ REFAKATLİ;424
2022;subat;İNDİRİMLİ;2884532
2022;subat;KAMU;1841
2022;subat;MUHTAR;469
2022;subat;SOSYAL KART;34254
2022;subat;TAM ABONMAN;282283
2022;subat;TAM KART;2155040
2022;subat;ZABITA;1
2022;mart;65 YAŞ ÜSTÜ;416747
2022;mart;DİĞER;375882
2022;mart;BASIN;5028
2022;mart;ENGELLİ;152571
2022;mart;ENGELLİ REFAKATLİ;26599
2022;mart;GÖRME ENGELLİ;825
2022;mart;GÖRME ENGELLİ REFAKATLİ;581
2022;mart;İNDİRİMLİ;4439220
2022;mart;KAMU;2428
2022;mart;MUHTAR;645
2022;mart;SOSYAL KART;35629
2022;mart;TAM ABONMAN;348903
2022;mart;TAM KART;2769895
2022;mart;ZABITA;501
2022;nisan;65 YAŞ ÜSTÜ;435791
2022;nisan;DİĞER;340846
2022;nisan;BASIN;4288
2022;nisan;ENGELLİ;147006
2022;nisan;ENGELLİ REFAKATLİ;26305
2022;nisan;GÖRME ENGELLİ;750
2022;nisan;GÖRME ENGELLİ REFAKATLİ;591
2022;nisan;İNDİRİMLİ;3726553
2022;nisan;KAMU;2106
2022;nisan;MUHTAR;536
2022;nisan;SOSYAL KART;37763
2022;nisan;TAM ABONMAN;318054
2022;nisan;TAM KART;2579222
2022;nisan;ZABITA;565
2022;mayis;65 YAŞ ÜSTÜ;450678
2022;mayis;DİĞER;315425
2022;mayis;BASIN;4084
2022;mayis;ENGELLİ;139255
2022;mayis;ENGELLİ REFAKATLİ;25784
2022;mayis;GÖRME ENGELLİ;832
2022;mayis;GÖRME ENGELLİ REFAKATLİ;608
2022;mayis;İNDİRİMLİ;3663676
2022;mayis;KAMU;1594
2022;mayis;MUHTAR;620
2022;mayis;SOSYAL KART;35621
2022;mayis;TAM ABONMAN;314656
2022;mayis;TAM KART;2705803
2022;mayis;ZABITA;533
2022;haziran;65 YAŞ ÜSTÜ;506401
2022;haziran;DİĞER;352153
2022;haziran;BASIN;4910
2022;haziran;ENGELLİ;156117
2022;haziran;ENGELLİ REFAKATLİ;28873
2022;haziran;GÖRME ENGELLİ;867
2022;haziran;GÖRME ENGELLİ REFAKATLİ;636
2022;haziran;İNDİRİMLİ;3459943
2022;haziran;KAMU;1957
2022;haziran;MUHTAR;563
2022;haziran;SOSYAL KART;35134
2022;haziran;TAM ABONMAN;366309
2022;haziran;TAM KART;3156089
2022;haziran;ZABITA;520
2022;temmuz;65 YAŞ ÜSTÜ;447113
2022;temmuz;DİĞER;258204
2022;temmuz;BASIN;3923
2022;temmuz;ENGELLİ;140691
2022;temmuz;ENGELLİ REFAKATLİ;24812
2022;temmuz;GÖRME ENGELLİ;824
2022;temmuz;GÖRME ENGELLİ REFAKATLİ;454
2022;temmuz;İNDİRİMLİ;1951986
2022;temmuz;KAMU;1368
2022;temmuz;MUHTAR;439
2022;temmuz;SOSYAL KART;30967
2022;temmuz;TAM ABONMAN;341561
2022;temmuz;TAM KART;3157093
2022;temmuz;ZABITA;359
2022;agustos;65 YAŞ ÜSTÜ;482897
2022;agustos;DİĞER;275395
2022;agustos;BASIN;4416
2022;agustos;ENGELLİ;154410
2022;agustos;ENGELLİ REFAKATLİ;27859
2022;agustos;GÖRME ENGELLİ;899
2022;agustos;GÖRME ENGELLİ REFAKATLİ;479
2022;agustos;İNDİRİMLİ;2185549
2022;agustos;KAMU;1760
2022;agustos;MUHTAR;506
2022;agustos;SOSYAL KART;33255
2022;agustos;TAM ABONMAN;397882
2022;agustos;TAM KART;3531033
2022;agustos;ZABITA;353
2022;eylul;65 YAŞ ÜSTÜ;509591
2022;eylul;DİĞER;287024
2022;eylul;BASIN;4586
2022;eylul;ENGELLİ;162542
2022;eylul;ENGELLİ REFAKATLİ;30748
2022;eylul;GÖRME ENGELLİ;857
2022;eylul;GÖRME ENGELLİ REFAKATLİ;512
2022;eylul;İNDİRİMLİ;3641788
2022;eylul;KAMU;1675
2022;eylul;MUHTAR;605
2022;eylul;SOSYAL KART;33555
2022;eylul;TAM ABONMAN;410252
2022;eylul;TAM KART;3761414
2022;eylul;ZABITA;891
2022;ekim;65 YAŞ ÜSTÜ;527425
2022;ekim;DİĞER;313592
2022;ekim;BASIN;4769
2022;ekim;ENGELLİ;168464
2022;ekim;ENGELLİ REFAKATLİ;32245
2022;ekim;GÖRME ENGELLİ;941
2022;ekim;GÖRME ENGELLİ REFAKATLİ;605
2022;ekim;İNDİRİMLİ;5398487
2022;ekim;KAMU;1842
2022;ekim;MUHTAR;601
2022;ekim;SOSYAL KART;32123
2022;ekim;TAM ABONMAN;437063
2022;ekim;TAM KART;3985130
2022;ekim;ZABITA;1071
2022;kasim;65 YAŞ ÜSTÜ;547498
2022;kasim;DİĞER;390077
2022;kasim;BASIN;4720
2022;kasim;ENGELLİ;169796
2022;kasim;ENGELLİ REFAKATLİ;32432
2022;kasim;GÖRME ENGELLİ;989
2022;kasim;GÖRME ENGELLİ REFAKATLİ;604
2022;kasim;İNDİRİMLİ;5042738
2022;kasim;KAMU;2243
2022;kasim;MUHTAR;601
2022;kasim;SOSYAL KART;33893
2022;kasim;TAM ABONMAN;433775
2022;kasim;TAM KART;3880695
2022;kasim;ZABITA;1081
2022;aralik;65 YAŞ ÜSTÜ;544681
2022;aralik;DİĞER;396876
2022;aralik;BASIN;4907
2022;aralik;ENGELLİ;174463
2022;aralik;ENGELLİ REFAKATLİ;32356
2022;aralik;GÖRME ENGELLİ;1042
2022;aralik;GÖRME ENGELLİ REFAKATLİ;542
2022;aralik;İNDİRİMLİ;5497600
2022;aralik;KAMU;1941
2022;aralik;MUHTAR;641
2022;aralik;SOSYAL KART;35372
2022;aralik;TAM ABONMAN;455490
2022;aralik;TAM KART;3929756
2022;aralik;ZABITA;1032
